Aircraft Maintenance,Weather Conditions,Pilot Experience,Air Traffic Control,Human Factors,Flight Operations,Security,Crash or Not
Maintenance issues reported,Clear skies forecasted,Pilot has a history of accidents,Efficient communication between pilot and ATC,Crew distracted by personal issues,Insufficient fuel for the planned route,Heightened security measures in place,1
No recent maintenance,Turbulent weather expected,New pilot with less than 500 hours of flight time,ATC experiencing communication issues,Crew fatigued due to extended flight delays,Lack of preparation for emergency scenarios,Heightened security measures in place,0
Maintenance issues reported,Clear skies forecasted,"Experienced pilot with over 10,000 hours of flight time",Efficient communication between pilot and ATC,Crew well-rested and focused,Insufficient fuel for the planned route,Heightened security measures in place,0
No recent maintenance,Stormy weather expected,Pilot has a history of accidents,ATC experiencing communication issues,Crew well-rested and focused,Lack of preparation for emergency scenarios,Heightened security measures in place,1
No recent maintenance,Stormy weather expected,New pilot with less than 500 hours of flight time,Lack of communication between pilot and ATC,Crew well-rested and focused,Thorough flight planning and fuel management,Security concerns raised by crew or passengers,1
Maintenance issues reported,Stormy weather expected,Pilot has a history of accidents,Efficient communication between pilot and ATC,Crew distracted by personal issues,Thorough flight planning and fuel management,Tightened security due to recent terrorist threats,1
Regular maintenance checks performed every 6 months,Stormy weather expected,"Experienced pilot with over 10,000 hours of flight time",ATC experiencing communication issues,Crew well-rested and focused,Thorough flight planning and fuel management,Heightened security measures in place,1
Maintenance issues reported,Turbulent weather expected,Pilot has a history of accidents,Lack of communication between pilot and ATC,Crew well-rested and focused,Lack of preparation for emergency scenarios,Security concerns raised by crew or passengers,0
Regular maintenance checks performed every 6 months,Turbulent weather expected,"Experienced pilot with over 10,000 hours of flight time",ATC experiencing communication issues,Crew well-rested and focused,Thorough flight planning and fuel management,Tightened security due to recent terrorist threats,0
Maintenance issues reported,Clear skies forecasted,Pilot has a history of accidents,Efficient communication between pilot and ATC,Crew distracted by personal issues,Lack of preparation for emergency scenarios,Security concerns raised by crew or passengers,1
Maintenance issues reported,Turbulent weather expected,Pilot has a history of accidents,ATC experiencing communication issues,Crew fatigued due to extended flight delays,Thorough flight planning and fuel management,Security concerns raised by crew or passengers,1
No recent maintenance,Clear skies forecasted,New pilot with less than 500 hours of flight time,Efficient communication between pilot and ATC,Crew fatigued due to extended flight delays,Thorough flight planning and fuel management,Heightened security measures in place,0
No recent maintenance,Turbulent weather expected,Pilot has a history of accidents,ATC experiencing communication issues,Crew well-rested and focused,Insufficient fuel for the planned route,Tightened security due to recent terrorist threats,0
Maintenance issues reported,Stormy weather expected,"Experienced pilot with over 10,000 hours of flight time",ATC experiencing communication issues,Crew fatigued due to extended flight delays,Thorough flight planning and fuel management,Tightened security due to recent terrorist threats,1
No recent maintenance,Clear skies forecasted,"Experienced pilot with over 10,000 hours of flight time",Lack of communication between pilot and ATC,Crew well-rested and focused,Thorough flight planning and fuel management,Heightened security measures in place,0
No recent maintenance,Stormy weather expected,"Experienced pilot with over 10,000 hours of flight time",Efficient communication between pilot and ATC,Crew distracted by personal issues,Lack of preparation for emergency scenarios,Heightened security measures in place,1
Maintenance issues reported,Clear skies forecasted,"Experienced pilot with over 10,000 hours of flight time",Lack of communication between pilot and ATC,Crew well-rested and focused,Thorough flight planning and fuel management,Tightened security due to recent terrorist threats,1
Maintenance issues reported,Clear skies forecasted,New pilot with less than 500 hours of flight time,Lack of communication between pilot and ATC,Crew distracted by personal issues,Insufficient fuel for the planned route,Security concerns raised by crew or passengers,1
Maintenance issues reported,Clear skies forecasted,Pilot has a history of accidents,Lack of communication between pilot and ATC,Crew fatigued due to extended flight delays,Insufficient fuel for the planned route,Heightened security measures in place,1
Regular maintenance checks performed every 6 months,Stormy weather expected,"Experienced pilot with over 10,000 hours of flight time",Efficient communication between pilot and ATC,Crew well-rested and focused,Thorough flight planning and fuel management,Security concerns raised by crew or passengers,0
